main_class,sub_class,title,body,tag
business,economy,VN-Index dips after two gaining sessions,"The index stayed in the red throughout the day and closed 10 points lower after gaining over 14 points in the last two sessions.Trading value on the Ho Chi Minh Stock Exchange (HoSE), on which the index is based, rose 2.2 percent to VND34.83 trillion ($1.53 billion).The VN30 basket, comprising the 30 largest capped stocks, saw 20 tickers losing, led by HDB of HDBank with a 3.3 percent drop.HPG of steelmaker Hoa Phat Group fell 3 percent to the lowest since Sep. 27.GVR of Vietnam Rubber Group fell 2.8 percent to a near two-week low.PNJ of Phu Nhuan Jewelry dropped 2.5 percent, while SSI of leading brokerage SSI Securities Corporation lost 2.3 percent.Seven tickers gained, with BVH of insurance company Bao Viet Holdings rising 3 percent and POW of electricity producer Petrovietnam Power Corporation adding 1.4 percent.Foreign investors were net buyers for the third straight session to the tune of VND208 billion. They had the highest demand for MSN of conglomerate Masan Group and KBC of industrial real estate developer Kinh Bac City.The HNX-Index for stocks on the Hanoi Stock Exchange, home to mid and small caps, rose 1.79 percent while the UPCoM-Index for the Unlisted Public Companies Market fell 0.23 percent.","Vietnam,stock,VN-Index"
business,economy,E-commerce sites report jump in 11/11 sales,"Tiki said revenues were up nine times from last year, and the number of buyers were double that on normal days.Face masks, products for babies and mothers, and fast moving consumer goods were the top sellers, it said.It also sold some 10,000 mobile phones, including 500 iPhones, 2,000 electric motorbikes and bicycles, and 6,000 cans and bottles of beer.Shopee sold 1.8 million decorative items, including some 100,000 decals and stickers, 1.6 million healthcare products, one million earphones and 150,000 mobile phone covers.Lazada said revenues doubled and the number of customers was up by half. Healthcare and beauty products were its best-sellers, and electronics sales almost doubled, with laptop and desktop sales nearly tripling.Sendo said revenues were 40 percent higher than during other promotions such as Sept. 9 and Oct. 10, with fashion, household and beauty items seeing sales double.According to a report called ‘e-Conomy SEA 2021’ released this week by Google, Temasek and Bain & Co., will increase to $13 billion this year, up 53 percent from last year, and triple by 2025.","Vietnam, e-commerce,platforms,Singles’ Day,sales promotion"
business,economy,National Assembly sets GDP growth target of 6-6.5 pct for 2022,"According to a resolution the National Assembly adopted on Friday, the industrial sector will account for 25.5-25.8 percent of GDP, inflation will be capped at 4 percent and labor productivity will increase by around 5.5 percent.Vu Hong Thanh, member of the National Assembly’s Standing Committee and chairman of the house’s Economic Committee, said the Standing Committee and the Government are drafting a program for socioeconomic recovery and development, and an overall strategy for combating Covid-19. They would be submitted to the National Assembly soon, he said.The NA called on the government to have flexible financial and fiscal policies to foster production and business and circulation of goods, link up labor supply and demand, boost exports and domestic consumption, and intensify investment.The economy grew by 5.64 percent year-on-year in the first half of the year, but contracted by 6.17 percent in the third quarter as the fourth wave of Covid raged, leading to growth of 1.42 percent for the first nine months, according to the Ministry of Planning and Investment.","National Assembly,GDP per capital,economic growth"
business,economy,Stock trading rises 28 pct,"The index stayed mostly steady throughout the day and closed 3 points higher. This is its seventh session in the green in the last 10 sessions.Trading value on the Ho Chi Minh Stock Exchange (HoSE), on which the index is based, shot up 28 percent to VND34.04 trillion ($1.5 billion).This was the fifth time this month that trading value reached over VND30 trillion.The VN30 basket, comprising the 30 largest capped stocks, saw 14 tickers in the green, led by POW of electricity producer Petrovietnam Power Corporation with a 6.9-percent rise.The ticker is now at a seven-month high. It has been on an upward trend since mid-July.HDB of HDBank rose 3 percent to a four-month high. Trading volume surged nearly 57 percent against the average of the last 10 sessions.MSN of conglomerate Masan Group rose 2.9 percent, and SSI of leading brokerage SSI Securities Corporation went up 2.7 percent, both to new peaks.MWG of electronics retail chain Mobile World gained 2.5 percent to a new peak in its fourth straight session in the green.Sixteen blue chip tickers ended in the red, with NVL of real estate developer Novaland Group losing 2.3 percent, and GVR of Vietnam Rubber Group, 2.2 percent.Foreign investors were net buyers to the tune of VND103 billion, with strongest pressure on VHM of real estate giant Vinhomes and MSN.The HNX-Index for stocks on the Hanoi Stock Exchange, home to mid and small caps, rose 0.6 percent while the UPCoM-Index for the Unlisted Public Companies Market gained 0.98 percent.","Vietnam,stock,VN-Index"
business,economy,"Vietnam economy recovering, contraction bottoms out: WB","The update released Friday says the country faced challenges in restarting the economy after prolonged social distancing periods, but the contraction has bottomed out.With HCMC and other provinces in the South progressively lifting restrictions in October, major mobility indicators have bounced back and economic activities resumed.The recovery has been particularly strong in grocery and pharmacy, which have reverted close to pre-pandemic levels. In contrast, mobility in workplaces has rebounded at a slower pace than typically observed in previous outbreaks.Current workplace mobility trends largely reflect the developments in southern provinces where resuming full production has proved difficult because of shortages of input materials as well as labor.The industrial production index increased in October, largely driven by the resumption of production activities in HCMC and surrounding industrial hubs. The most dynamic subsectors included food and beverage, tobacco, garment and footwear, rubber and plastic products, metals, and furniture, registering double digit month-on-month growth rates.The manufacturing PMI jumped from 40.2 in September to 52.1 in October, exceeding the 50.0 no-change benchmark for the first time in five months, indicating significant improvement in economic conditions.Retail sales growth accelerated from 4.4 percent month-on-month in September to 18.1 percent in October thanks to the easing of social distancing measures. Sales of services, which were affected more severely by the fourth outbreak, continued to recover at faster pace than sales of goods.The trade surplus reached $2.85 billion in October as merchandise exports increased by 5.7 percent year-on-year while import growth moderated to 6.9 percent from 10.2 percent in September.FDI commitments fell 47.4 percent month-on-month in October after three months of strong recovery. This reversal likely reflects ""the seasonality and chunkiness"" of FDI, the WB said. Meanwhile, inflation remained subdued despite fuel price hikes.A credit growth of 14.2 percent year-on-year in October, similar to September, reflected ongoing recovery of economic activities from the fourth outbreak, particularly in the services sectors.Specifically, the growth of credit to the services sector, which accounted for over 60 percent of total credit to the economy, settled at 15.6 percent year-on-year in October after steadily slowing since May.The October budget registered a surplus of $1.2 billion after two months in deficit, the WB update notes.According to the WB, a more proactive fiscal policy would better support economic recovery. The approved value-added tax reduction for businesses in traveling, hospitality and entertainment industries in November and December are expected to help boost domestic demand.As the economy re-opens and the number of new confirmed cases increases, persisting with the rapid pace of vaccination and increasing vigilance in testing and quarantining should help avoid a new wave of infections, the bank says.Inflation should be carefully watched as strengthening domestic demand amid rising energy prices around the world may create upward pressure on prices, the WB cautions, adding that financial sector health should be closely monitored.The economy grew by 5.64 percent year-on-year in the first half of the year, but contracted by 6.17 percent in the third quarter as the fourth wave of Covid raged, leading to a growth of 1.42 percent for the first nine months, according to the Ministry of Planning and Investment.The government targets in 2022 despite the potential challenges posed by the Covid-19 pandemic.","WB,economic recovery,tax reduction,economic growth"
business,economy,50 pct discount to stimulate HCMC consumption,"At a Co.opmart in Go Vap District, Hoa was surprised to find a liter of soybean oil costing VND35,000 ($1.55), 17 percent lower than at grocery stores.""I bought five liters and received one additional liter for free.""This is part of Co.opmart’s discount program that covers over 11,000 essential products with prices lowered by up to 47 percent, said its director of operations Nguyen Ngoc Thang.There are also discounts of up to 50 percent for milk, soda and kitchenware on the weekends, he added.Other retail chains like Bach Hoa Xanh, GO! And Big C are also offering discounts from 5 to 50 percent.Pork producer Vissan is giving out 5-20 percent discounts on its products, including fresh meat.Chicken egg producer Ba Huan gives its customers a free pack of smaller eggs they buy a big pack for VND37,000.This is the biggest promotion program the company has ever conducted, said chairwoman Pham Thi Huan.""Even though we lose out on profits, we can support customers to buy more goods at lower prices during a difficult time.""Media representatives of supermarkets said demand has plunged 50 percent from pre-pandemic levels, and therefore the companies are giving out promotions to shift inventories and stimulate consumption.Companies are also preparing for rising demand at the end of the year as the annual Lunar New Year holiday Tet, which falls in February next year, approaches.Vissan is recruiting 300 temporary staff to increase production for the end-of-year shopping season. It plans to increase its amount of fresh food by 8 percent from last year.Ba Huan has made plans to increase its production by 50 percent to 1.5 million eggs a day.","Vietnam,HCMC,consumption,stimulate,spending"
business,economy,Ministry considers tapping citizens for $7.9 bln to catalyze recovery,"The process could last two years, with overspending set to rise by one percent each year, finance minister Ho Duc Phoc told the National Assembly Friday.Rising public debt remained a concern, the minister said, noting that it was set to be 56.8 percent of GDP this year, under the 60 percent threshold, but higher than the warning level of 55 percent.""We support issuing stimulus packages for economic growth, but there is a need to increase revenue and keep overspending under control,"" he said, adding that overspending could rise in 2022 and 2023, but should drop in the following years to ensure sustainable growth.Another source of money for the stimulus packages which won’t increase public spending and overspending is the undistributed public investment earmarked for the 2021-2025 period, he said.Phoc also proposed that the government continues to give businesses more time to make tax payments and keep offering discounts on several fees and taxes, including a 30-percent discount on value-added tax.The finance ministry is consulting with the government on a plan to provide loan interest incentives worth VND20 trillion each year in 2022 and 2023.This means that with an interest of 4 percent, VND1,000 trillion would be pumped into the economy, which will create jobs, increase productivity and reduce overspending in the upcoming years, Phoc said.At the session, National Assembly chairman Vuong Dinh Hue said that the recovery package should also focus on social development.""It is necessary to develop risk management programs to ensure that the mobilization and allocation of resources will be for the right purposes..."". They should prevent losses and not cater to group interests, Hue added.He also said that the Ministry of Planning and Investment needs to target a public investment disbursement ratio of 90 percent this year.He noted that several projects were experiencing delays, including the construction of the Long Thanh International Airport and the eastern cluster of the North-South Expressway network.","Vietnam,stimulus package,recovery"
business,economy,"Struggle continues for HCMC food, beverage businesses amid renewed Covid threat","The food and coffee shop owned by Hoa in District 1 only has 30 percent of pre-pandemic revenues since some offices have not reopened.""But I have to pay rent of VN20 million ($884) a month,"" she said.Beverage chain Coffee Bike has seen take-away sales go back to pre-pandemic levels, but founder and CEO Hoang Tien said few customers come in.Referring to his franchisees, he said: ""Owners of brick-and-mortar shops are between a rock and a hard place. Some have moved to the city’s outskirts to reduce overheads"".HCMC allowed eateries to reopen on Oct. 28 after only permitting takeaway and delivery for months, but the resurgence of Covid with over 1,200 new cases a day in the last seven days has revived people’s apprehensions.Some major chains are also struggling as a result.Starbucks, while refusing to divulge details, said its business ""is not as before"" since people are reluctant to visit crowded places though there is high demand for its products.If authorities give everyone at least one shot of Covid vaccine, business would pick up, it said.Vua Cua, a chain that specializes in crab dishes, is also getting few customers at its five restaurants.""Most people order takeaway,"" owner Doan Thi Anh Thu said, fearing the situation is unlikely to improve any time soon because of the renewed incidence of Covid.The chain is set to call of a plan to open new restaurants and instead focus on takeaway and franchising.Last month sales of food and beverages in the city fell 92.6 percent year-on-year to VND548 billion, according to the General Statistics Office.It represented a 13.5 percent uptick from September, but the comparable national figure was 48.5 percent.It was 94.1 percent for Hanoi and 239.6 percent for Can Tho City.","Vietnam,restaurants,coffee shops,cafes"
business,economy,Central province wants wind power incentives extended,"The Nov. 1 deadline should be put off until the end of March, provincial leaders said at a meeting with National Assembly chairman Vuong Dinh Hue last weekend.He expressed support for the proposal and called on the government to consider the possibility, pointing out it would also serve to revive the economy post-Covid-19.To encourage development of renewable energy, the government had fixed a feed-in tariff of 9.8 cents per kilowatt-hour for offshore projects and 8.5 cents for onshore projects going on stream until Oct. 31 this year.According to data from national utility Vietnam Electricity (EVN), 84 projects met the deadline, but 62 did not.Since Ninh Thuan is a renewable energy hub and has one of the fastest-growing economies this year, Hue said that should be ""special"" policies for the province to foster growth.","Vietnam,wind power,Ninh Thuan"
business,economy,Vietnam faces high risk of inflation next year: governor,"It is possible to keep inflation under 4 percent this year, but there are risks of high inflation next year, as some countries have seen record-high inflation as the prices of some commodities like oil surge, Governor of the State Bank of Vietnam Nguyen Thi Hong told a National Assembly meeting Friday.In the U.S., Consumer Price Index (CPI), which measures inflation, in October rose 6.2 percent year-on-year, the highest since 1990.South Korea’s inflation also exceeded 3 percent for the first time since 2012.""For economies with high trade openness like Vietnam, inflation risks are very high,"" Hong told lawmakers.Another concern is rising bad debt among banks, which have urged them to use their own resources to deal with the issue.""Dwindling resources will affect the security of the system,"" she said, adding Vietnam should avoid repeating the same story as in 2008-2009 when inflation surged after an economic crisis.The SBV has cut its rates on three occasions this year by a total 1.5-2 percent, considered large compared to regional countries, Hong said.Banks have lowered their lending rates by 1.66 percentage points from pre-pandemic levels with a total value of around VND30 trillion ($1.32 billion).","Vietnam,governor,inflation,CPI,risks"
business,economy,First metro stirs hope Vietnam can match regional peers,"Experts, however remain cautious and skeptical, saying such optimism is unwarranted at the moment.""If I close my eyes I can’t tell whether I’m on a metro train in another country or in Vietnam,"" said Tran Ngoc Quynh, one of the first passengers to use the Cat Linh – Ha Dong Metro Route after it .Quynh, a 70-year-old engineer, couldn’t sleep the night before as he had been waiting for the metro to run for 10 years. His family and friends are among those who had been relocated during the land acquisition process for the project.""The train shows that Vietnam is not far behind other countries in development. We are moving in the right direction.""The Cat Linh – Ha Dong Metro Route, the latest public transport addition in Hanoi, where 8.3 million people reside, has kindled hopes and desire among local residents that the city ups its public infrastructure to the level or other ASEAN countries.Tran Ngoc Quynh takes a picture as he rides the first metro train in Hanoi, November 6, 2021. Photo by VnExpress/Giang HuyNguyen Huu Khanh, who lives one kilometer away from a metro station, said that he was thinking about making metro his main means of transportation to and from work.""I arrived 10 minutes earlier than usual with the metro. There was no traffic jam, and it was warmer than riding the motorbike,"" said the 30-year-old, who works for a startup.The experience is similar to that of Thailand where he had worked for a couple of years, Khanh said.Several Southeast Asian countries have had a head start over Vietnam in establishing metro networks.Indonesia’s first metro line began operations in 2019, Thailand’s Bangkok got its Sky Train in 1999, while Singapore’s North-South Line started service in 1987.Vietnam approved the Cat Linh – Ha Dong route in 2008 and targeted it becoming operational by 2013, but several hurdles in land acquisition, design changes and contractual conflicts delayed construction by eight years.Despite the inordinate delay, the first metro route is a ""historic"" one, part of a network of metro route that will ease traffic burden on roads, Hanoi deputy chairman Duong Duc Tuan said at the inaugural ceremony Saturday.The Cat Linh – Ha Dong route is one of 10 metro routes planned for Hanoi by 2030 with a total length of 417 kilometers - 82 percent of it elevated and the rest underground.Passengers are seen on the Cat Linh – Ha Dong Metro Route, November 6, 2021. Photo by VnExpress/GIang HuyAnother route, the Nhon – Hanoi Railway Station, is under construction. Its elevated section is set to become operational by the end of next year.This route, built with French technology and standards, will be linked to the Cat Linh – Ha Dong route.Tuan called for more investment into metros to boost their construction speed, noting that it is taking 8-10 years to complete a route in Vietnam.But some experts are concerned that the euphoria and ""excessive"" focus on metro routes are sidelining potentially troublesome issues.""The lack of a bus network to bring people to the stations and the limited number of parking spaces will likely deter users from making the metro their main means of transport,"" said architect and urban planning expert Ngo Viet Nam Son.A metro needs to have an occupancy rate of 80-90 percent to ensure profit. A lower rate could make this means of transport an economic burden as the government won’t be able to recoup its investment because higher fares are not an ideal solution, he told ""Authorities seem to be so drawn toward building metros that they forget buses must be the main means public transport in a city,"" he said, adding that buses cost less to operate and offer users more travel options.To improve the current metro network, authorities need to either sell bus and metro tickets together with lower fares, or give metro users free bus trips, Son said.For future metro projects, the government could consider acquiring land alongside the line and auction them later to recoup its investment and create more organized urban areas where the metro goes, he suggested.Hanoians queue up to try out new metro. Video by Loc Chung, Anh Phu","Vietnam,metro,Cat Linh Ha Dong"
business,economy,Tiki raises $258 mln from global investors,"The series E funding round was led by AIA Insurance Inc, and included UBS AG London Branch, Mirae Asset-Naver Asia Growth Fund and Taiwan Mobile Co.Tiki had planned to list in the U.S. by 2025, but it now plans to do so in a year’s time, Tiki founder and Chief Executive Officer Tran Ngoc Thai Son told  in an interview.The company expects revenue growth of 40-50 percent in the next few years, he added.Vietnam is expected to have 53 million online consumers, or 71 percent of its population aged 15 and older, by the end of this year, an 8 percent rise from 2020, according to a report in August by Facebook and Bain & Co.Tiki in June raised VND1 trillion dong ($44 million) from .","Vietnam,Tiki,e-commerce"
